Timestamp,Temperature,Humidity,SoilMoisture
08:00:00,75.2,62.3,509
08:00:30,75.0,62.7,508
08:01:00,75.0,62.3,508
08:01:30,75.3,62.5,507
08:02:00,75.4,63.0,507
08:02:30,75.5,62.7,506
08:03:00,75.5,62.6,506
08:03:30,75.6,62.1,505
08:04:00,75.5,62.2,504
08:04:30,75.7,62.2,504
08:05:00,75.9,61.8,503
08:05:30,75.7,62.2,503
08:06:00,75.7,62.4,502
08:06:30,75.6,61.9,502
08:07:00,75.9,61.8,501
08:07:30,76.2,62.3,500
08:08:00,76.2,62.5,500
08:08:30,76.2,62.9,499
08:09:00,76.2,62.7,499
08:09:30,76.3,62.9,498
08:10:00,76.3,62.6,497
08:10:30,76.5,62.4,497
08:11:00,76.7,62.6,496
08:11:30,76.9,62.7,496
08:12:00,77.2,62.9,495
08:12:30,77.3,62.6,495
08:13:00,77.5,62.5,494
08:13:30,77.6,62.6,494
08:14:00,77.6,62.4,493
08:14:30,77.4,62.1,493
08:15:00,77.3,62.2,492
08:15:30,77.3,62.1,491
08:16:00,77.4,62.4,491
08:16:30,77.3,62.8,490
08:17:00,77.3,63.1,490
08:17:30,77.2,63.1,489
08:18:00,77.3,63.4,489
08:18:30,77.3,63.1,488
08:19:00,77.4,63.0,488
08:19:30,77.5,63.3,487
08:20:00,77.7,63.7,486
08:20:30,77.7,63.2,486
08:21:00,77.6,63.7,485
08:21:30,77.8,64.0,485
08:22:00,77.9,63.6,484
08:22:30,78.2,63.5,483
08:23:00,78.2,63.7,483
08:23:30,78.3,64.0,482
08:24:00,78.3,63.6,482
08:24:30,78.5,63.2,481
08:25:00,78.6,63.1,480
08:25:30,78.7,62.8,479
08:26:00,78.7,63.0,479
08:26:30,78.6,62.8,478
08:27:00,78.8,63.0,478
08:27:30,78.9,63.0,477
08:28:00,79.0,63.4,476
08:28:30,79.1,63.1,476
08:29:00,78.9,62.8,475
08:29:30,79.1,62.8,475
08:30:00,79.3,62.5,474
08:30:30,79.4,62.1,474
08:31:00,79.2,62.3,473
08:31:30,79.4,62.8,472
08:32:00,79.5,62.7,472
08:32:30,79.6,62.3,471
08:33:00,79.7,62.1,471
08:33:30,79.9,62.1,470
08:34:00,80.0,62.1,469
08:34:30,79.9,61.8,469
08:35:00,79.7,62.3,468
08:35:30,79.7,61.8,467
08:36:00,79.8,62.1,467
08:36:30,79.9,62.2,466
08:37:00,79.9,62.6,466
08:37:30,80.0,62.6,465
08:38:00,80.0,62.7,464
08:38:30,80.0,63.2,464
08:39:00,80.0,63.4,464
08:39:30,79.8,63.3,463
08:40:00,79.9,63.1,463
08:40:30,80.0,63.4,462
08:41:00,80.1,63.9,462
08:41:30,80.2,63.5,461
08:42:00,80.4,63.4,461
08:42:30,80.3,63.2,460
08:43:00,80.2,62.9,459
08:43:30,80.3,62.5,459
08:44:00,80.2,62.5,458
08:44:30,80.3,62.7,458
08:45:00,80.2,62.5,457
08:45:30,80.2,62.5,457
08:46:00,80.4,62.2,456
08:46:30,80.6,61.9,456
08:47:00,80.7,61.7,455
08:47:30,80.7,61.8,455
08:48:00,80.9,61.6,454
08:48:30,81.0,61.7,454
08:49:00,81.2,62.1,453
08:49:30,81.0,62.0,452
08:50:00,81.3,61.9,452
08:50:30,81.3,61.7,451
08:51:00,81.6,61.3,451
08:51:30,81.7,61.7,450
08:52:00,81.6,61.8,449
08:52:30,81.6,62.0,449
08:53:00,81.8,62.0,448
08:53:30,82.0,61.5,448
08:54:00,82.3,61.7,447
08:54:30,82.4,61.5,446
08:55:00,82.4,61.9,446
08:55:30,82.5,61.8,445
08:56:00,82.8,62.1,445
08:56:30,82.8,61.9,444
08:57:00,83.0,62.2,444
08:57:30,83.1,61.8,443
08:58:00,83.2,62.1,443
08:58:30,83.4,62.3,442
08:59:00,83.2,62.4,442
08:59:30,83.3,62.7,441
09:00:00,83.4,62.3,440
09:00:30,83.6,62.3,440
09:01:00,83.6,62.1,439
09:01:30,83.8,61.7,438
09:02:00,83.7,62.1,518
09:02:30,83.7,62.2,518
09:03:00,83.9,62.3,517
09:03:30,84.0,62.2,516
09:04:00,84.0,62.4,516
09:04:30,84.2,62.8,515
09:05:00,84.2,63.0,515
09:05:30,84.5,62.7,514
09:06:00,84.5,62.4,513
09:06:30,84.6,62.4,513
09:07:00,84.6,62.1,512
09:07:30,84.6,62.5,511
09:08:00,84.6,62.6,511
09:08:30,84.9,62.8,510
09:09:00,85.0,63.2,510
09:09:30,85.0,62.9,509
09:10:00,85.0,63.4,508
09:10:30,85.0,63.3,508
09:11:00,85.0,63.0,507
09:11:30,85.0,63.1,506
09:12:00,85.0,62.8,505
