Timestamp,Temperature,Humidity,SoilMoisture
08:00:00,69.9,65.8,519
08:00:30,70.1,65.5,518
08:01:00,70.3,65.1,518
08:01:30,70.3,64.7,517
08:02:00,70.3,64.8,516
08:02:30,70.4,64.9,516
08:03:00,70.6,64.8,515
08:03:30,70.7,64.7,514
08:04:00,70.7,64.6,513
08:04:30,70.7,64.2,513
08:05:00,70.8,64.5,512
08:05:30,70.7,64.1,511
08:06:00,70.7,64.0,511
08:06:30,70.7,64.1,510
08:07:00,70.8,64.0,509
08:07:30,70.8,64.4,509
08:08:00,70.8,64.7,508
08:08:30,70.9,64.5,507
08:09:00,71.1,64.4,507
08:09:30,71.2,64.2,506
08:10:00,71.2,64.3,505
08:10:30,71.3,64.3,505
08:11:00,71.4,64.5,504
08:11:30,71.5,64.3,503
08:12:00,71.6,64.0,502
08:12:30,71.7,63.8,502
08:13:00,71.8,63.9,501
08:13:30,71.8,64.3,500
08:14:00,71.9,64.5,500
08:14:30,72.0,64.3,499
08:15:00,72.1,64.1,498
08:15:30,72.1,64.4,498
08:16:00,72.2,64.7,497
08:16:30,72.4,64.7,497
08:17:00,72.6,64.5,496
08:17:30,72.7,64.5,495
08:18:00,72.9,64.0,494
08:18:30,73.1,63.9,494
08:19:00,73.1,64.4,493
08:19:30,73.0,64.8,493
08:20:00,73.1,64.5,492
08:20:30,73.2,64.9,491
08:21:00,73.3,64.4,491
08:21:30,73.4,64.2,490
08:22:00,73.4,64.1,489
08:22:30,73.6,63.7,489
08:23:00,73.7,63.6,488
08:23:30,73.7,63.5,487
08:24:00,73.8,63.5,487
08:24:30,73.8,63.1,486
08:25:00,73.9,63.0,486
08:25:30,73.9,63.0,485
08:26:00,73.9,63.0,484
08:26:30,74.0,63.0,483
08:27:00,74.2,63.0,483
08:27:30,74.3,63.0,482
08:28:00,74.3,63.4,481
08:28:30,74.4,63.1,481
08:29:00,74.5,63.3,480
08:29:30,74.6,63.4,479
08:30:00,74.8,63.6,479
08:30:30,74.9,63.9,478
08:31:00,75.1,63.6,477
08:31:30,75.2,63.6,477
08:32:00,75.3,63.4,476
08:32:30,75.5,63.7,475
08:33:00,75.6,64.1,475
08:33:30,75.8,63.8,474
08:34:00,75.9,63.4,473
08:34:30,76.0,63.9,473
08:35:00,76.2,64.3,472
08:35:30,76.2,64.7,471
08:36:00,76.3,64.6,471
08:36:30,76.3,64.4,470
08:37:00,76.3,64.7,470
08:37:30,76.5,64.6,469
08:38:00,76.6,64.4,468
08:38:30,76.6,64.1,467
08:39:00,76.7,64.3,467
08:39:30,76.9,64.1,466
08:40:00,77.0,63.8,466
08:40:30,77.2,64.2,465
08:41:00,77.2,64.0,464
08:41:30,77.4,64.0,463
08:42:00,77.4,63.9,463
08:42:30,77.4,64.0,462
